#rank|epoch|iteration_no|event_id|event_operation|device_us|cpu_us|time_range_start_us|time_range_end_us|time_range_duration_us|self_cpu_memory_usage|self_cpu_percent|self_cpu_time_total|self_cpu_time_total_str|self_cuda_memory_usage|self_cuda_time_total|self_device_memory_usage|self_device_time_total|self_device_time_total_str|sequence_nr|stack|thread|total_cpu_percent|total_device_percent|use_device
0|1|1|174|turing_fp16_s1688gemm_fp16_128x128_ldg8_relu_f2f_tn|244.42|0.00|764208.85|764453.26|244.42|0.00|-1.00|0.00|0.000us|0.00|244.42|0.00|244.42|244.415us|-1||1|-1.00|-1.00|cuda
0|1|1|175|void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>, 4, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<2>, at::native::memory::StoreWithCast<1> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<2>, at::native::memory::StoreWithCast<1>)|137.28|0.00|764454.29|764591.56|137.28|0.00|-1.00|0.00|0.000us|0.00|137.28|0.00|137.28|137.280us|-1||1|-1.00|-1.00|cuda
0|1|1|176|void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)|134.02|0.00|764592.53|764726.54|134.02|0.00|-1.00|0.00|0.000us|0.00|134.02|0.00|134.02|134.015us|-1||1|-1.00|-1.00|cuda
0|1|1|177|void at::native::vectorized_elementwise_kernel<4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>)|22.18|0.00|764727.12|764749.29|22.18|0.00|-1.00|0.00|0.000us|0.00|22.18|0.00|22.18|22.176us|-1||1|-1.00|-1.00|cuda
0|1|1|178|void at::native::vectorized_elementwise_kernel<4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>)|115.55|0.00|764749.77|764865.32|115.55|0.00|-1.00|0.00|0.000us|0.00|115.55|0.00|115.55|115.551us|-1||1|-1.00|-1.00|cuda
0|1|1|179|void at::native::vectorized_elementwise_kernel<4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>)|110.05|0.00|764865.87|764975.92|110.05|0.00|-1.00|0.00|0.000us|0.00|110.05|0.00|110.05|110.047us|-1||1|-1.00|-1.00|cuda
0|1|1|180|turing_fp16_s1688gemm_fp16_256x128_ldg8_relu_f2f_tn|1158.04|0.00|764976.52|766134.57|1158.04|0.00|-1.00|0.00|0.000us|0.00|1158.04|0.00|1158.04|1.158ms|-1||1|-1.00|-1.00|cuda
0|1|1|181|void at::native::vectorized_elementwise_kernel<4, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#3}::operator()() const::{lambda(c10::Half)#1}, std::array<char*, 2ul> >(int, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#3}::operator()() const::{lambda(c10::Half)#1}, std::array<char*, 2ul>)|174.24|0.00|766135.43|766309.67|174.24|0.00|-1.00|0.00|0.000us|0.00|174.24|0.00|174.24|174.240us|-1||1|-1.00|-1.00|cuda
0|1|1|182|void at::native::vectorized_elementwise_kernel<4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>)|28.51|0.00|766310.21|766338.73|28.51|0.00|-1.00|0.00|0.000us|0.00|28.51|0.00|28.51|28.512us|-1||1|-1.00|-1.00|cuda
0|1|1|183|void at::native::vectorized_elementwise_kernel<4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>)|101.69|0.00|766339.33|766441.03|101.69|0.00|-1.00|0.00|0.000us|0.00|101.69|0.00|101.69|101.695us|-1||1|-1.00|-1.00|cuda
